"","BIOME_NAME","biomass_crop","biomass_pasture","area_crop","area_pasture","total_area","total_biomass","density_crop","density_pasture"
"1","Boreal Forests/Taiga",16498400.8427384,31143868.5430508,17199439.0381323,8826754.8621484,26026193.9002807,47642269.3857892,0.959240636055654,3.52834864335073
"2","Deserts & Xeric Shrublands",32412704.0010075,91920903.5684692,159613322.891923,644118007.889233,803731330.781156,124333607.569477,0.203070166159969,0.142708172171265
"3","Flooded Grasslands & Savannas",46768342.6971334,142302181.775202,17070334.9520373,24345152.7444814,41415487.6965186,189070524.472336,2.73974370324537,5.84519568510244
"4","Mangroves",18895143.2936269,20755190.1800629,4912512.28626305,2943029.17637349,7855541.46263655,39650333.4736898,3.8463299820061,7.05232226261453
"5","Mediterranean Forests, Woodlands & Scrub",93646710.1183498,59011615.6428451,125769695.35748,54849117.9176476,180618813.275127,152658325.761195,0.744588828431002,1.07588996657061
"6","Montane Grasslands & Shrublands",214154151.320309,135923700.371427,32885626.9189448,144662308.337843,177547935.256787,350077851.691736,6.51208966908697,0.939593055946493
"7","Temperate Broadleaf & Mixed Forests",372037285.78571,114302941.395353,437964725.348823,52569929.2265362,490534654.57536,486340227.181063,0.849468608435063,2.17430274449857
"8","Temperate Conifer Forests",25673868.853085,72423031.0793112,19609976.4215288,38112479.4223223,57722455.843851,98096899.9323962,1.30922487111708,1.90024454396671
"9","Temperate Grasslands, Savannas & Shrublands",111901150.606159,99145244.6676598,410161959.196323,330265533.614132,740427492.810456,211046395.273819,0.272821864868745,0.300198581373909
"10","Tropical & Subtropical Coniferous Forests",23780495.2589466,16450910.1563657,7283911.44213273,6108359.56806254,13392271.0101953,40231405.4153123,3.26479741659019,2.69317972739833
"11","Tropical & Subtropical Dry Broadleaf Forests",116429050.937062,128218202.894329,130226343.1633,21758492.6061298,151984835.76943,244647253.831391,0.89405145002853,5.89278886250638
"12","Tropical & Subtropical Grasslands, Savannas & Shrublands",1253976139.80182,2489766849.71938,279916963.060018,490486950.181077,770403913.241095,3743742989.5212,4.47981474967971,5.0761123181773
"13","Tropical & Subtropical Moist Broadleaf Forests",752170135.408002,460242897.076135,227676181.343655,56224582.6480023,283900763.991658,1212413032.48414,3.30368390302837,8.18579481429886
"14","Tundra",227690.101358,8041581.27498317,36015.655224,13453430.2193032,13489445.8745272,8269271.37634117,6.3219758169573,0.597734640452143
